N;Instance;Decoder;Total Distance;Time Spent;Alpha
N010;54;TimeDecoderWithVehicleByPercentage;860,64;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;815,10;136,31;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;793,31;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;798,18;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;722,71;204,30;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;829,27;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;804,29;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;757,92;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;899,83;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;753,24;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;779,57;171,29;Alpha1
N010;56;PositionalDecoderWithVehicleByPercentage;759,21;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;765,54;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;895,46;175,02;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;781,50;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;899,61;175,02;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;782,49;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;845,87;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;808,83;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;743,23;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;761,75;171,29;Alpha1
N010;56;TimeDecoderWithVehicleByPercentage;794,97;171,29;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1309,20;310,45;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1501,57;248,98;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1318,31;275,01;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1316,12;269,91;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1189,60;304,84;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1483,27;323,65;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1613,27;244,95;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1389,88;314,90;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1297,05;267,68;Alpha1
N020;63;PositionalDecoderWithVehicleByPercentage;1475,10;257,18;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1465,21;258,41;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1537,75;312,44;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1416,93;296,09;Alpha1
