N;Instance;Decoder;Total Distance;Time Spent;Alpha
N20;61;PositionalDecoderWithVehicleByPercentage;1134,47;217,61;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1249,71;192,21;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1165,74;245,43;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1153,77;195,30;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1256,73;191,24;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1231,17;245,65;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;940,96;221,80;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1155,45;226,29;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1205,44;202,02;Alpha2
N20;61;PositionalDecoderWithVehicleByPercentage;1094,33;183,34;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1227,40;242,36;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1059,22;212,61;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1216,05;229,96;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1138,75;195,20;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;954,19;226,89;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1195,50;213,36;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1207,81;230,82;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1052,91;238,10;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1084,03;188,13;Alpha2
N20;61;TimeDecoderWithVehicleByPercentage;1149,91;208,52;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1256,55;284,60;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1442,01;268,43;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1355,13;282,53;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1260,67;274,44;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1171,93;272,45;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1411,90;255,71;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1261,59;269,81;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1081,84;253,32;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1293,69;279,39;Alpha2
N20;62;PositionalDecoderWithVehicleByPercentage;1558,49;263,90;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1198,29;309,81;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1442,97;217,21;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1415,82;280,86;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1420,13;236,32;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1417,38;239,67;Alpha2
